"episodeId","episodeTitle","episodeCategories","episodeUrl","episodeImageUrls"
87978,"Color Sundays: 2015 Resolution","Slice of Life,Comedy","https://tapastic.com/episode/87978","https://d30womf5coomej.cloudfront.net/c/a9/58/d0/4c/fd9952ad1ae548ec9432f3078cf7d67d.jpg"
87972,"Saturday Morning Cartoons","Action,Fantasy,Sci-fi","https://tapastic.com/episode/87972","https://d30womf5coomej.cloudfront.net/c/90/d48e382e-ff5a-4891-aca8-52d321c4a0ed.jpg;https://d30womf5coomej.cloudfront.net/c/3f/0a/e9/66/a1d2d281f95f4ee5a7df2e2bb29b0f7b.jpg;https://d30womf5coomej.cloudfront.net/c/75/52/38/9e/93dbcd4325b540b4bf899bd0d721ccd1.jpg;https://d30womf5coomej.cloudfront.net/c/6c/1b/15/7b/5a5fcff88cf24fe2a724711932d19568.jpg"
87961,"THE MACHINE THAT TRAVELS IN TIME","Slice of Life,Comedy,Gaming","https://tapastic.com/episode/87961",""
87926,"Gonna make you sweat","Slice of Life,Comedy","https://tapastic.com/episode/87926","https://d30womf5coomej.cloudfront.net/c/6e/f9/10/8d/9584d801399c4d8cb9e3f0988f79a108.jpg;https://d30womf5coomej.cloudfront.net/c/8e/bb/bb/cf/3980879f202d4da4900ca4dcbcc72332.jpg"
87910,"Paternity test","Slice of Life,Comedy","https://tapastic.com/episode/87910","https://d30womf5coomej.cloudfront.net/c/35/58/d9/51/de0529e32640443599965ec87707a363.jpg;https://d30womf5coomej.cloudfront.net/c/2f/90/c2/86/8ddd1c3548d642d3a4ec65dfc0520dea.jpg"
87898,"Worst best friend","Slice of Life","https://tapastic.com/episode/87898","https://d30womf5coomej.cloudfront.net/c/bf/94/8e/4a/189d7f9b3f2c4fe9acde4e5dbe4f482a.jpg"
87878,"Chapter 1 - part 10","Action,Fantasy","https://tapastic.com/episode/87878","https://d30womf5coomej.cloudfront.net/c/21/3f2907ee-3896-489e-8ec4-1d1612a5fbb9.jpg;https://d30womf5coomej.cloudfront.net/c/4d/9f4ad168-391f-4fa6-b1e9-0faf6f0645e7.jpg"
87821,"BATPUN","Slice of Life,Comedy","https://tapastic.com/episode/87821",""
87786,"sympathy","Slice of Life,Comedy","https://tapastic.com/episode/87786","https://d30womf5coomej.cloudfront.net/c/5c/93/7e/54/14b4403565ab40b2aa6efdb441f6b531.jpg"
87757,"Resolute","Comedy,Gaming","https://tapastic.com/episode/87757","https://d30womf5coomej.cloudfront.net/c/7b/60/fa/65/8f73a1b4310e499fb7d2b253c2b08169.gif"
87730,"Chapter 2: Page 21","Action,Comedy,Sci-fi","https://tapastic.com/episode/87730",""
87718,"College Accomplishments","Slice of Life,Comedy","https://tapastic.com/episode/87718","https://d30womf5coomej.cloudfront.net/c/16/00/47/89/60c48f0899814662b7b9c54253e7c9fb.jpg"
87633,"Chapter 1 Page 25","Action,Comedy,Fantasy","https://tapastic.com/episode/87633","https://d30womf5coomej.cloudfront.net/c/1f/21/2d/d5/ee9cffe400744407b5afb63918ab48ae.jpg;https://d30womf5coomej.cloudfront.net/c/a8/7a/86/bf/27cea31e942d425d832fa02d867f12ad.jpg"
87631,"2. False Impressions (11)","Fantasy,Drama","https://tapastic.com/episode/87631","https://d30womf5coomej.cloudfront.net/c/37/28/06/91/8b82269e35834cc09ee386627a8b6fa3.jpg;https://d30womf5coomej.cloudfront.net/c/e8/90/0d/90/665f7629aaa9430ab09ba1f51e95ef68.jpg;https://d30womf5coomej.cloudfront.net/c/3e/9e/a1/fd/a3edc4c3050541a3aa4258d797c3d214.jpg"
87602,"Narcissexual","Comedy","https://tapastic.com/episode/87602","https://d30womf5coomej.cloudfront.net/c/d8/5f/bb/42/43d672398067443c8ff384b1cff9d4c4.jpg"
87587,"Q and A #1: Answers!","Action,Comedy,Fantasy","https://tapastic.com/episode/87587","https://d30womf5coomej.cloudfront.net/c/9c/24/69/a6/abc6dc53ea5a4ba3aaf62557196ce0f4.jpg"
87552,"End of the Internet","Comedy","https://tapastic.com/episode/87552","https://d30womf5coomej.cloudfront.net/c/6f/03/77/0d/43fd6c5ac3e445b4851fe4c468f3b6c5.jpg"
87550,"Dateless","Comedy","https://tapastic.com/episode/87550","https://d30womf5coomej.cloudfront.net/c/bb/39/2a/e2/d16c061ca3084848880db68f3812315b.jpg"
87548,"4: Virtual Apocalypse","Slice of Life,Comedy","https://tapastic.com/episode/87548","https://d30womf5coomej.cloudfront.net/c/25/97/43/83/550da42498404693965ae4ca21acc012.jpg;https://d30womf5coomej.cloudfront.net/c/ce/a8/c3/48/f05d318d64504c3b86632c10f059c9af.jpg"
87455,"Good Time","Slice of Life,Comedy","https://tapastic.com/episode/87455","https://d30womf5coomej.cloudfront.net/c/70/78/ce/a0/77bae9cc75c9466a9bf87599f1799ae3.jpg"
